"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"30.05.2025","3,898","3,947","3,951","3,893","-1,02%"
"29.05.2025","3,938","4,031","4,052","3,934","-1,34%"
"28.05.2025","3,991","3,961","4,004","3,951","0,39%"
"27.05.2025","3,975","3,993","4,000","3,962","-0,50%"
"26.05.2025","3,995","3,993","3,995","3,993","0,11%"
"23.05.2025","3,991","3,992","4,000","3,904","0,06%"
"22.05.2025","3,989","4,019","4,022","3,975","-0,76%"
"21.05.2025","4,019","3,962","4,024","3,958","1,26%"
"20.05.2025","3,969","3,979","3,998","3,956","-0,05%"
"19.05.2025","3,971","3,983","4,040","3,966","-0,49%"
"16.05.2025","3,991","3,963","4,012","3,921","0,95%"
"15.05.2025","3,953","4,051","4,062","3,954","-2,58%"
"14.05.2025","4,058","4,006","4,063","3,986","1,40%"
"13.05.2025","4,002","4,002","4,027","3,960","-0,15%"
"12.05.2025","4,008","3,926","4,021","3,910","3,10%"
"09.05.2025","3,888","3,874","3,897","3,835","0,22%"
"08.05.2025","3,879","3,787","3,907","3,779","2,63%"
"07.05.2025","3,780","3,812","3,828","3,760","-0,08%"
"06.05.2025","3,783","3,845","3,853","3,779","-1,48%"
"05.05.2025","3,839","3,809","3,857","3,789","0,43%"
"02.05.2025","3,823","3,688","3,845","3,686","3,44%"
"01.05.2025","3,696","3,619","3,723","3,558","2,34%"
"30.04.2025","3,611","3,650","3,676","3,591","-1,18%"
"29.04.2025","3,654","3,701","3,715","3,648","-0,86%"
"28.04.2025","3,686","3,764","3,783","3,678","-1,85%"
"25.04.2025","3,755","3,805","3,824","3,748","-0,95%"
"24.04.2025","3,791","3,856","3,856","3,787","-1,99%"
"23.04.2025","3,868","3,844","3,879","3,762","1,25%"
"22.04.2025","3,820","3,762","3,823","3,760","1,39%"
"21.04.2025","3,768","3,767","3,796","3,716","-0,83%"
"17.04.2025","3,799","3,786","3,819","3,758","0,65%"
"16.04.2025","3,775","3,828","3,832","3,770","-1,96%"
"15.04.2025","3,850","3,845","3,883","3,812","-0,03%"
"14.04.2025","3,851","3,935","3,952","3,826","-3,03%"
"11.04.2025","3,971","3,814","3,977","3,797","2,92%"
"10.04.2025","3,859","3,891","3,904","3,785","-1,30%"
"09.04.2025","3,910","3,705","4,039","3,657","4,89%"
