Fecha,Hora,Actual,Previsión,Anterior
05.06.2025,14:15,"0,0215","0,0215","0,0240"
17.04.2025,14:15,"0,0240","0,0240","0,0265"
06.03.2025,15:15,"0,0265","0,0265","0,0290"
30.01.2025,15:15,"0,0290","0,0290","0,0315"
12.12.2024,15:15,"0,0315","0,0315","0,0340"
17.10.2024,14:15,"0,0340","0,0340","0,0365"
12.09.2024,14:15,"0,0365","0,0365","0,0425"
18.07.2024,14:15,"0,0425","0,0425","0,0425"
06.06.2024,14:15,"0,0425","0,0425","0,0450"
11.04.2024,14:15,"0,0450","0,0450","0,0450"
07.03.2024,15:15,"0,0450","0,0450","0,0450"
25.01.2024,15:15,"0,0450","0,0450","0,0450"
14.12.2023,15:15,"0,0450","0,0450","0,0450"
26.10.2023,14:15,"0,0450","0,0450","0,0450"
14.09.2023,14:15,"0,0450","0,0425","0,0425"
27.07.2023,14:15,"0,0425","0,0425","0,0400"
15.06.2023,14:15,"0,0400","0,0400","0,0375"
04.05.2023,14:15,"0,0375","0,0375","0,0350"
16.03.2023,15:15,"0,0350","0,0350","0,0300"
02.02.2023,15:15,"0,0300","0,0300","0,0250"
15.12.2022,15:15,"0,0250","0,0250","0,0200"
27.10.2022,14:15,"0,0200","0,0200","0,0125"
08.09.2022,14:15,"0,0125","0,0125","0,0050"
21.07.2022,14:15,"0,0050","0,0025","0,0000"
09.06.2022,13:45,"0,0000","0,0000","0,0000"
14.04.2022,13:45,"0,0000","0,0000","0,0000"
10.03.2022,14:45,"0,0000","0,0000","0,0000"
03.02.2022,14:45,"0,0000","0,0000","0,0000"
16.12.2021,14:45,"0,0000","0,0000","0,0000"
28.10.2021,13:45,"0,0000","0,0000","0,0000"
09.09.2021,13:45,"0,0000","0,0000","0,0000"
22.07.2021,13:45,"0,0000","0,0000","0,0000"
10.06.2021,13:45,"0,0000","0,0000","0,0000"
22.04.2021,13:45,"0,0000","0,0000","0,0000"
11.03.2021,14:45,"0,0000","0,0000","0,0000"
21.01.2021,14:45,"0,0000","0,0000","0,0000"
10.12.2020,14:45,"0,0000","0,0000","0,0000"
29.10.2020,14:45,"0,0000","0,0000","0,0000"
10.09.2020,13:45,"0,0000","0,0000","0,0000"
16.07.2020,13:45,"0,0000","0,0000","0,0000"
04.06.2020,13:45,"0,0000","0,0000","0,0000"
30.04.2020,13:45,"0,0000","0,0000","0,0000"
12.03.2020,14:45,"0,0000","0,0000","0,0000"
23.01.2020,14:45,"0,0000","0,0000","0,0000"
12.12.2019,14:45,"0,0000","0,0000","0,0000"
24.10.2019,13:45,"0,0000","0,0000","0,0000"
12.09.2019,13:45,"0,0000","0,0000","0,0000"
25.07.2019,13:45,"0,0000","0,0000","0,0000"
06.06.2019,13:45,"0,0000","0,0000","0,0000"
10.04.2019,13:45,"0,0000","0,0000","0,0000"
07.03.2019,14:45,"0,0000","0,0000","0,0000"
24.01.2019,14:45,"0,0000","0,0000","0,0000"
13.12.2018,14:45,"0,0000","0,0000","0,0000"
25.10.2018,13:45,"0,0000","0,0000","0,0000"
13.09.2018,13:45,"0,0000","0,0000","0,0000"
26.07.2018,13:45,"0,0000","0,0000","0,0000"
14.06.2018,13:45,"0,0000","0,0000","0,0000"
26.04.2018,13:45,"0,0000","0,0000","0,0000"
08.03.2018,14:45,"0,0000","0,0000","0,0000"
25.01.2018,14:45,"0,0000","0,0000","0,0000"
14.12.2017,14:45,"0,0000","0,0000","0,0000"
26.10.2017,13:45,"0,0000","0,0000","0,0000"
07.09.2017,13:45,"0,0000","0,0000","0,0000"
20.07.2017,13:45,"0,0000","0,0000","0,0000"
08.06.2017,13:45,"0,0000","0,0000","0,0000"
27.04.2017,13:45,"0,0000","0,0000","0,0000"
09.03.2017,14:45,"0,0000","0,0000","0,0000"
19.01.2017,14:45,"0,0000","0,0000","0,0000"
08.12.2016,14:45,"0,0000","0,0000","0,0000"
20.10.2016,13:45,"0,0000","0,0000","0,0000"
08.09.2016,13:45,"0,0000","0,0000","0,0000"
21.07.2016,13:45,"0,0000","0,0000","0,0000"
02.06.2016,13:45,"0,0000","0,0000","0,0000"
21.04.2016,13:45,"0,0000","0,0000","0,0000"
10.03.2016,14:45,"0,0000","0,0005","0,0005"
21.01.2016,14:45,"0,0005","0,0005","0,0005"
03.12.2015,14:45,"0,0005","0,0005","0,0005"
