Fecha,Hora,Actual,Previsión,Anterior
18.06.2025,20:00,"0,045","0,045","0,045"
07.05.2025,20:00,"0,045","0,045","0,045"
19.03.2025,20:00,"0,045","0,045","0,045"
29.01.2025,21:00,"0,045","0,045","0,045"
18.12.2024,21:00,"0,045","0,045","0,048"
07.11.2024,21:00,"0,048","0,048","0,050"
18.09.2024,20:00,"0,050","0,053","0,055"
31.07.2024,20:00,"0,055","0,055","0,055"
12.06.2024,20:00,"0,055","0,055","0,055"
01.05.2024,20:00,"0,055","0,055","0,055"
20.03.2024,20:00,"0,055","0,055","0,055"
31.01.2024,21:00,"0,055","0,055","0,055"
13.12.2023,21:00,"0,055","0,055","0,055"
01.11.2023,20:00,"0,055","0,055","0,055"
20.09.2023,20:00,"0,055","0,055","0,055"
26.07.2023,20:00,"0,055","0,055","0,053"
14.06.2023,20:00,"0,053","0,053","0,053"
03.05.2023,20:00,"0,053","0,053","0,050"
22.03.2023,20:00,"0,050","0,050","0,048"
01.02.2023,21:00,"0,048","0,048","0,045"
14.12.2022,21:00,"0,045","0,045","0,040"
02.11.2022,20:00,"0,040","0,040","0,033"
21.09.2022,20:00,"0,033","0,033","0,025"
27.07.2022,20:00,"0,025","0,025","0,018"
15.06.2022,20:00,"0,018","0,015","0,010"
04.05.2022,20:00,"0,010","0,010","0,005"
16.03.2022,20:00,"0,005","0,005","0,003"
26.01.2022,21:00,"0,003","0,003","0,003"
15.12.2021,21:00,"0,003","0,003","0,003"
03.11.2021,20:00,"0,003","0,003","0,003"
22.09.2021,20:00,"0,003","0,003","0,003"
28.07.2021,20:00,"0,003","0,003","0,003"
16.06.2021,20:00,"0,003","0,003","0,003"
28.04.2021,20:00,"0,003","0,003","0,003"
17.03.2021,20:00,"0,003","0,003","0,003"
27.01.2021,21:00,"0,003","0,003","0,003"
16.12.2020,21:00,"0,003","0,003","0,003"
05.11.2020,21:00,"0,003","0,003","0,003"
16.09.2020,20:00,"0,003","0,003","0,003"
29.07.2020,20:00,"0,003","0,003","0,003"
10.06.2020,20:00,"0,003","0,003","0,003"
29.04.2020,20:00,"0,003","0,003","0,003"
15.03.2020,23:00,"0,003",,"0,013"
03.03.2020,17:00,"0,013",,"0,018"
29.01.2020,21:00,"0,018","0,018","0,018"
11.12.2019,21:00,"0,018","0,018","0,018"
30.10.2019,20:00,"0,018","0,018","0,020"
18.09.2019,20:00,"0,020","0,020","0,023"
31.07.2019,20:00,"0,023","0,023","0,025"
19.06.2019,20:00,"0,025","0,025","0,025"
01.05.2019,20:00,"0,025","0,025","0,025"
20.03.2019,20:00,"0,025","0,025","0,025"
30.01.2019,21:00,"0,025","0,025","0,025"
19.12.2018,21:00,"0,025","0,025","0,023"
08.11.2018,21:00,"0,023","0,023","0,023"
26.09.2018,20:00,"0,023","0,023","0,020"
01.08.2018,20:00,"0,020","0,020","0,020"
13.06.2018,20:00,"0,020","0,020","0,018"
02.05.2018,20:00,"0,018","0,018","0,018"
21.03.2018,20:00,"0,018","0,018","0,015"
31.01.2018,21:00,"0,015","0,015","0,015"
13.12.2017,21:00,"0,015","0,015","0,013"
01.11.2017,20:00,"0,013","0,013","0,013"
20.09.2017,20:00,"0,013","0,013","0,013"
26.07.2017,20:00,"0,013","0,013","0,013"
14.06.2017,20:00,"0,013","0,013","0,010"
03.05.2017,20:00,"0,010","0,010","0,010"
15.03.2017,20:00,"0,010","0,010","0,008"
01.02.2017,21:00,"0,008","0,008","0,008"
14.12.2016,21:00,"0,008","0,008","0,005"
02.11.2016,20:00,"0,005","0,005","0,005"
21.09.2016,20:00,"0,005","0,005","0,005"
27.07.2016,20:00,"0,005","0,005","0,005"
15.06.2016,20:00,"0,005","0,005","0,005"
27.04.2016,20:00,"0,005","0,005","0,005"
16.03.2016,20:00,"0,005","0,005","0,005"
27.01.2016,21:00,"0,005","0,005","0,005"
16.12.2015,21:00,"0,005","0,005","0,003"
28.10.2015,20:00,"0,003","0,003","0,003"
17.09.2015,20:00,"0,003","0,003","0,003"
29.07.2015,20:00,"0,003","0,003","0,003"
17.06.2015,20:00,"0,003","0,003","0,003"
29.04.2015,20:00,"0,003","0,003","0,003"
18.03.2015,20:00,"0,003","0,003","0,003"
28.01.2015,21:00,"0,003","0,003","0,003"
17.12.2014,21:00,"0,003","0,003","0,003"
29.10.2014,20:00,"0,003","0,003","0,003"
17.09.2014,20:00,"0,003","0,003","0,003"
30.07.2014,20:00,"0,003","0,003","0,003"
18.06.2014,20:00,"0,003","0,003","0,003"
30.04.2014,20:00,"0,003","0,003","0,003"
19.03.2014,20:00,"0,003","0,003","0,003"
29.01.2014,21:00,"0,003","0,003","0,003"
18.12.2013,21:00,"0,003","0,003","0,003"
30.10.2013,20:00,"0,003","0,003","0,003"
18.09.2013,20:00,"0,003","0,003","0,003"
31.07.2013,20:00,"0,003","0,003","0,003"
19.06.2013,20:00,"0,003","0,003","0,003"
01.05.2013,20:00,"0,003","0,003","0,003"
20.03.2013,20:00,"0,003","0,003","0,003"
30.01.2013,21:15,"0,003","0,003","0,003"
12.12.2012,19:30,"0,003","0,003","0,003"
24.10.2012,20:15,"0,003","0,003","0,003"
13.09.2012,18:30,"0,003","0,003","0,003"
01.08.2012,20:15,"0,003","0,003","0,003"
20.06.2012,18:30,"0,003","0,003","0,003"
25.04.2012,18:30,"0,003","0,003","0,003"
13.03.2012,20:15,"0,003","0,003","0,003"
25.01.2012,19:30,"0,003","0,003","0,003"
13.12.2011,21:15,"0,003","0,003","0,003"
02.11.2011,18:30,"0,003","0,003","0,003"
21.09.2011,20:15,"0,003","0,003","0,003"
09.08.2011,20:15,"0,003","0,003","0,003"
22.06.2011,18:30,"0,003","0,003","0,003"
27.04.2011,18:30,"0,003","0,003","0,003"
15.03.2011,20:15,"0,003","0,003","0,003"
26.01.2011,21:15,"0,003","0,003","0,003"
14.12.2010,21:15,"0,003","0,003","0,003"
03.11.2010,20:15,"0,003","0,003","0,003"
21.09.2010,20:15,"0,003","0,003","0,003"
10.08.2010,20:15,"0,003","0,003","0,003"
23.06.2010,20:15,"0,003","0,003","0,003"
28.04.2010,20:15,"0,003","0,003","0,003"
16.03.2010,20:15,"0,003","0,003","0,003"
27.01.2010,21:15,"0,003","0,003","0,003"
16.12.2009,21:15,"0,003","0,003","0,003"
04.11.2009,21:15,"0,003","0,003","0,003"
